,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
39,Orlando Magic,96,Miami Heat,97,16,3,13,768.0,101.9,111.6,-9.7,55.7,1.51,16.4,30.1,70.3,49.3,14.9,48.1,51.2,93.91,43.7,18,17,1,864.0,111.4,100.0,11.4,64.3,1.70,19.3,24.5,64.8,46.4,15.5,55.7,59.2,91.03,58.6,-1
40,Portland Trail Blazers,85,Memphis Grizzlies,91,16,7,9,768.0,109.8,109.6,0.1,60.5,1.81,18.2,28.5,70.6,49.9,13.9,52.7,56.1,92.44,49.2,17,11,6,821.0,107.6,103.0,4.6,56.9,1.62,16.9,32.7,69.7,51.2,14.6,49.2,53.3,88.34,52.8,-6
41,Washington Wizards,82,Minnesota Timberwolves,87,17,9,8,816.0,104.2,102.3,1.9,60.8,1.51,16.9,29.3,70.8,50.3,15.4,49.2,53.4,92.97,50.5,17,6,11,816.0,101.4,103.9,-2.4,60.7,1.56,17.2,27.9,68.8,47.7,15.2,47.8,51.6,94.24,48.3,-5
42,Los Angeles Lakers,108,New Orleans Hornets,102,15,9,6,725.0,106.3,107.0,-0.7,59.6,1.54,16.6,28.6,68.9,49.2,14.7,50.6,54.3,95.64,50.5,15,6,9,720.0,108.1,110.8,-2.7,56.9,1.39,16.6,38.0,73.1,54.7,16.9,49.7,53.7,87.47,47.5,6
43,Houston Rockets,108,Dallas Mavericks,112,14,9,5,672.0,109.2,102.3,6.9,60.7,1.29,16.6,31.0,72.4,51.6,17.7,52.2,56.8,94.93,53.2,16,11,5,773.0,108.3,108.1,0.2,59.4,1.76,18.6,23.4,71.3,48.3,14.2,54.3,57.4,94.11,50.8,-4
44,Toronto Raptors,98,Phoenix Suns,71,15,4,11,730.0,102.8,108.4,-5.6,53.6,1.24,15.5,30.9,71.2,50.4,16.9,48.5,52.8,93.21,45.6,15,3,12,720.0,97.3,108.7,-11.4,61.8,1.33,16.9,32.0,69.3,49.4,17.8,47.0,50.1,96.87,43.2,27
45,Chicago Bulls,83,San Antonio Spurs,101,14,7,7,677.0,103.5,106.8,-3.3,64.4,1.76,18.2,32.2,71.6,50.8,14.7,47.7,51.3,90.75,48.0,14,10,4,677.0,109.0,103.5,5.5,66.7,1.77,20.1,27.2,72.4,51.0,15.9,53.9,57.5,94.05,55.4,-18
46,Sacramento Kings,83,Golden State Warriors,87,15,7,8,720.0,111.4,107.9,3.5,55.6,1.59,17.3,29.3,68.6,49.4,14.8,53.4,57.0,96.33,49.4,16,9,7,768.0,104.4,99.2,5.2,58.4,1.49,17.0,27.3,72.2,50.7,15.4,50.5,54.2,95.66,52.8,-4
47,Milwaukee Bucks,101,Los Angeles Clippers,117,16,7,9,778.0,105.6,109.7,-4.1,62.1,1.95,17.9,31.6,69.9,49.6,13.1,48.5,51.8,95.35,47.7,14,7,7,677.0,111.6,107.7,3.9,61.8,1.65,18.5,32.5,72.5,52.2,15.8,53.6,56.7,89.94,52.4,-16
48,Oklahoma City Thunder,95,New York Knicks,94,17,12,5,821.0,108.3,100.5,7.8,52.8,1.29,15.3,28.9,69.8,51.3,15.8,51.0,56.7,95.04,57.1,18,12,6,864.0,107.8,103.8,4.0,52.3,1.34,15.2,28.2,69.3,48.9,15.1,51.6,55.7,89.86,51.4,1
49,Los Angeles Clippers,92,Denver Nuggets,107,14,7,7,677.0,111.6,107.7,3.9,61.8,1.65,18.5,32.5,72.5,52.2,15.8,53.6,56.7,89.94,52.4,15,13,2,725.0,109.9,101.7,8.2,59.2,1.58,17.8,33.7,67.5,51.3,15.8,52.2,55.9,95.50,56.0,-15
50,Oklahoma City Thunder,116,Charlotte Bobcats,94,17,12,5,821.0,108.3,100.5,7.8,52.8,1.29,15.3,28.9,69.8,51.3,15.8,51.0,56.7,95.04,57.1,16,4,12,768.0,101.0,113.0,-11.9,58.4,1.60,16.0,27.9,68.3,46.3,13.7,46.2,50.7,91.91,42.1,22
51,Indiana Pacers,115,Orlando Magic,86,16,11,5,768.0,106.8,96.7,10.1,56.4,1.37,15.7,34.2,72.3,53.8,16.0,48.4,53.2,92.31,56.7,16,3,13,768.0,101.9,111.6,-9.7,55.7,1.51,16.4,30.1,70.3,49.3,14.9,48.1,51.2,93.91,43.7,29
52,Washington Wizards,78,Brooklyn Nets,95,17,9,8,816.0,104.2,102.3,1.9,60.8,1.51,16.9,29.3,70.8,50.3,15.4,49.2,53.4,92.97,50.5,15,8,7,720.0,109.8,105.4,4.4,55.0,1.34,16.2,37.3,71.7,54.4,17.0,51.4,54.9,90.80,52.3,-17
53,Memphis Grizzlies,103,Cleveland Cavaliers,92,17,11,6,821.0,107.6,103.0,4.6,56.9,1.62,16.9,32.7,69.7,51.2,14.6,49.2,53.3,88.34,52.8,14,2,12,672.0,99.7,110.1,-10.4,58.4,1.48,16.4,28.2,69.9,47.9,15.1,47.4,50.7,93.61,41.7,11
54,Dallas Mavericks,102,Detroit Pistons,99,16,11,5,773.0,108.3,108.1,0.2,59.4,1.76,18.6,23.4,71.3,48.3,14.2,54.3,57.4,94.11,50.8,14,1,13,672.0,99.0,115.7,-16.8,63.1,1.47,17.5,29.3,69.6,48.2,16.4,47.9,51.0,90.36,39.6,3
55,Atlanta Hawks,102,Boston Celtics,107,18,8,10,869.0,102.6,103.8,-1.2,65.9,1.60,19.2,23.8,69.4,47.4,16.3,52.0,54.9,94.87,50.8,16,8,8,773.0,102.3,103.4,-1.1,61.9,1.40,17.7,22.0,69.6,47.5,16.8,51.9,55.9,93.17,50.3,-5
56,Utah Jazz,88,Chicago Bulls,89,16,7,9,778.0,104.9,104.2,0.8,57.7,1.40,16.7,34.7,71.5,52.7,16.6,49.5,53.2,92.24,51.1,14,7,7,677.0,103.5,106.8,-3.3,64.4,1.76,18.2,32.2,71.6,50.8,14.7,47.7,51.3,90.75,48.0,-1
57,Philadelphia 76ers,93,Miami Heat,102,17,8,9,816.0,105.2,106.8,-1.7,66.1,1.86,19.6,31.7,68.8,50.0,15.1,50.7,53.1,92.15,49.5,18,17,1,864.0,111.4,100.0,11.4,64.3,1.70,19.3,24.5,64.8,46.4,15.5,55.7,59.2,91.03,58.6,-9
58,Portland Trail Blazers,136,San Antonio Spurs,106,16,7,9,768.0,109.8,109.6,0.1,60.5,1.81,18.2,28.5,70.6,49.9,13.9,52.7,56.1,92.44,49.2,14,10,4,677.0,109.0,103.5,5.5,66.7,1.77,20.1,27.2,72.4,51.0,15.9,53.9,57.5,94.05,55.4,30
59,Phoenix Suns,112,Sacramento Kings,121,15,3,12,720.0,97.3,108.7,-11.4,61.8,1.33,16.9,32.0,69.3,49.4,17.8,47.0,50.1,96.87,43.2,15,7,8,720.0,111.4,107.9,3.5,55.6,1.59,17.3,29.3,68.6,49.4,14.8,53.4,57.0,96.33,49.4,-9
60,Houston Rockets,94,Golden State Warriors,88,14,9,5,672.0,109.2,102.3,6.9,60.7,1.29,16.6,31.0,72.4,51.6,17.7,52.2,56.8,94.93,53.2,16,9,7,768.0,104.4,99.2,5.2,58.4,1.49,17.0,27.3,72.2,50.7,15.4,50.5,54.2,95.66,52.8,6
61,Toronto Raptors,116,Los Angeles Lakers,118,15,4,11,730.0,102.8,108.4,-5.6,53.6,1.24,15.5,30.9,71.2,50.4,16.9,48.5,52.8,93.21,45.6,15,9,6,725.0,106.3,107.0,-0.7,59.6,1.54,16.6,28.6,68.9,49.2,14.7,50.6,54.3,95.64,50.5,-2
62,Brooklyn Nets,93,Atlanta Hawks,80,15,8,7,720.0,109.8,105.4,4.4,55.0,1.34,16.2,37.3,71.7,54.4,17.0,51.4,54.9,90.80,52.3,18,8,10,869.0,102.6,103.8,-1.2,65.9,1.60,19.2,23.8,69.4,47.4,16.3,52.0,54.9,94.87,50.8,13
63,Utah Jazz,84,New York Knicks,113,16,7,9,778.0,104.9,104.2,0.8,57.7,1.40,16.7,34.7,71.5,52.7,16.6,49.5,53.2,92.24,51.1,18,12,6,864.0,107.8,103.8,4.0,52.3,1.34,15.2,28.2,69.3,48.9,15.1,51.6,55.7,89.86,51.4,-29
64,New Orleans Hornets,85,Memphis Grizzlies,96,15,6,9,720.0,108.1,110.8,-2.7,56.9,1.39,16.6,38.0,73.1,54.7,16.9,49.7,53.7,87.47,47.5,17,11,6,821.0,107.6,103.0,4.6,56.9,1.62,16.9,32.7,69.7,51.2,14.6,49.2,53.3,88.34,52.8,-11
65,Charlotte Bobcats,87,Washington Wizards,104,16,4,12,768.0,101.0,113.0,-11.9,58.4,1.60,16.0,27.9,68.3,46.3,13.7,46.2,50.7,91.91,42.1,17,9,8,816.0,104.2,102.3,1.9,60.8,1.51,16.9,29.3,70.8,50.3,15.4,49.2,53.4,92.97,50.5,-17
66,Minnesota Timberwolves,88,Denver Nuggets,111,17,6,11,816.0,101.4,103.9,-2.4,60.7,1.56,17.2,27.9,68.8,47.7,15.2,47.8,51.6,94.24,48.3,15,13,2,725.0,109.9,101.7,8.2,59.2,1.58,17.8,33.7,67.5,51.3,15.8,52.2,55.9,95.50,56.0,-23
67,Houston Rockets,105,Phoenix Suns,107,14,9,5,672.0,109.2,102.3,6.9,60.7,1.29,16.6,31.0,72.4,51.6,17.7,52.2,56.8,94.93,53.2,15,3,12,720.0,97.3,108.7,-11.4,61.8,1.33,16.9,32.0,69.3,49.4,17.8,47.0,50.1,96.87,43.2,-2
68,Milwaukee Bucks,103,Golden State Warriors,93,16,7,9,778.0,105.6,109.7,-4.1,62.1,1.95,17.9,31.6,69.9,49.6,13.1,48.5,51.8,95.35,47.7,16,9,7,768.0,104.4,99.2,5.2,58.4,1.49,17.0,27.3,72.2,50.7,15.4,50.5,54.2,95.66,52.8,10
69,Boston Celtics,79,Oklahoma City Thunder,91,16,8,8,773.0,102.3,103.4,-1.1,61.9,1.40,17.7,22.0,69.6,47.5,16.8,51.9,55.9,93.17,50.3,17,12,5,821.0,108.3,100.5,7.8,52.8,1.29,15.3,28.9,69.8,51.3,15.8,51.0,56.7,95.04,57.1,-12
70,Chicago Bulls,81,Los Angeles Lakers,90,14,7,7,677.0,103.5,106.8,-3.3,64.4,1.76,18.2,32.2,71.6,50.8,14.7,47.7,51.3,90.75,48.0,15,9,6,725.0,106.3,107.0,-0.7,59.6,1.54,16.6,28.6,68.9,49.2,14.7,50.6,54.3,95.64,50.5,-9
71,Indiana Pacers,91,Miami Heat,105,16,11,5,768.0,106.8,96.7,10.1,56.4,1.37,15.7,34.2,72.3,53.8,16.0,48.4,53.2,92.31,56.7,18,17,1,864.0,111.4,100.0,11.4,64.3,1.70,19.3,24.5,64.8,46.4,15.5,55.7,59.2,91.03,58.6,-14
72,Philadelphia 76ers,91,Orlando Magic,99,17,8,9,816.0,105.2,106.8,-1.7,66.1,1.86,19.6,31.7,68.8,50.0,15.1,50.7,53.1,92.15,49.5,16,3,13,768.0,101.9,111.6,-9.7,55.7,1.51,16.4,30.1,70.3,49.3,14.9,48.1,51.2,93.91,43.7,-8
73,Cleveland Cavaliers,96,Toronto Raptors,100,14,2,12,672.0,99.7,110.1,-10.4,58.4,1.48,16.4,28.2,69.9,47.9,15.1,47.4,50.7,93.61,41.7,15,4,11,730.0,102.8,108.4,-5.6,53.6,1.24,15.5,30.9,71.2,50.4,16.9,48.5,52.8,93.21,45.6,-4
74,Dallas Mavericks,100,Minnesota Timberwolves,77,16,11,5,773.0,108.3,108.1,0.2,59.4,1.76,18.6,23.4,71.3,48.3,14.2,54.3,57.4,94.11,50.8,17,6,11,816.0,101.4,103.9,-2.4,60.7,1.56,17.2,27.9,68.8,47.7,15.2,47.8,51.6,94.24,48.3,23
75,Portland Trail Blazers,96,New Orleans Hornets,98,16,7,9,768.0,109.8,109.6,0.1,60.5,1.81,18.2,28.5,70.6,49.9,13.9,52.7,56.1,92.44,49.2,15,6,9,720.0,108.1,110.8,-2.7,56.9,1.39,16.6,38.0,73.1,54.7,16.9,49.7,53.7,87.47,47.5,-2
76,Milwaukee Bucks,115,Sacramento Kings,113,16,7,9,778.0,105.6,109.7,-4.1,62.1,1.95,17.9,31.6,69.9,49.6,13.1,48.5,51.8,95.35,47.7,15,7,8,720.0,111.4,107.9,3.5,55.6,1.59,17.3,29.3,68.6,49.4,14.8,53.4,57.0,96.33,49.4,2
77,Detroit Pistons,97,Los Angeles Clippers,129,14,1,13,672.0,99.0,115.7,-16.8,63.1,1.47,17.5,29.3,69.6,48.2,16.4,47.9,51.0,90.36,39.6,14,7,7,677.0,111.6,107.7,3.9,61.8,1.65,18.5,32.5,72.5,52.2,15.8,53.6,56.7,89.94,52.4,-32
78,Brooklyn Nets,97,Philadelphia 76ers,106,15,8,7,720.0,109.8,105.4,4.4,55.0,1.34,16.2,37.3,71.7,54.4,17.0,51.4,54.9,90.80,52.3,17,8,9,816.0,105.2,106.8,-1.7,66.1,1.86,19.6,31.7,68.8,50.0,15.1,50.7,53.1,92.15,49.5,-9
79,Oklahoma City Thunder,93,San Antonio Spurs,105,17,12,5,821.0,108.3,100.5,7.8,52.8,1.29,15.3,28.9,69.8,51.3,15.8,51.0,56.7,95.04,57.1,14,10,4,677.0,109.0,103.5,5.5,66.7,1.77,20.1,27.2,72.4,51.0,15.9,53.9,57.5,94.05,55.4,-12
80,Detroit Pistons,90,Utah Jazz,103,14,1,13,672.0,99.0,115.7,-16.8,63.1,1.47,17.5,29.3,69.6,48.2,16.4,47.9,51.0,90.36,39.6,16,7,9,778.0,104.9,104.2,0.8,57.7,1.40,16.7,34.7,71.5,52.7,16.6,49.5,53.2,92.24,51.1,-13
81,Denver Nuggets,108,Phoenix Suns,93,15,13,2,725.0,109.9,101.7,8.2,59.2,1.58,17.8,33.7,67.5,51.3,15.8,52.2,55.9,95.50,56.0,15,3,12,720.0,97.3,108.7,-11.4,61.8,1.33,16.9,32.0,69.3,49.4,17.8,47.0,50.1,96.87,43.2,15
82,New York Knicks,63,Golden State Warriors,92,18,12,6,864.0,107.8,103.8,4.0,52.3,1.34,15.2,28.2,69.3,48.9,15.1,51.6,55.7,89.86,51.4,16,9,7,768.0,104.4,99.2,5.2,58.4,1.49,17.0,27.3,72.2,50.7,15.4,50.5,54.2,95.66,52.8,-29
83,Boston Celtics,74,Charlotte Bobcats,100,16,8,8,773.0,102.3,103.4,-1.1,61.9,1.40,17.7,22.0,69.6,47.5,16.8,51.9,55.9,93.17,50.3,16,4,12,768.0,101.0,113.0,-11.9,58.4,1.60,16.0,27.9,68.3,46.3,13.7,46.2,50.7,91.91,42.1,-26
