,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
84,Washington Wizards,104,Los Angeles Clippers,136,7,1,6,341.0,104.4,114.3,-9.9,54.2,1.45,15.2,21.1,65.6,43.3,13.6,49.7,54.7,105.57,43.8,7,4,3,336.0,110.5,105.5,5.1,53.0,1.32,15.7,26.2,70.8,50.5,15.7,53.1,58.4,104.57,53.7,-32
85,Portland Trail Blazers,103,Indiana Pacers,93,7,5,2,341.0,113.9,106.4,7.5,48.1,1.32,14.7,29.6,73.1,53.2,14.9,53.3,58.4,101.14,54.6,8,5,3,384.0,112.1,105.5,6.6,53.7,1.67,17.6,28.0,68.6,49.2,14.4,56.0,57.7,97.13,53.8,10
86,Atlanta Hawks,92,Philadelphia 76ers,113,7,2,5,336.0,100.1,107.5,-7.4,62.6,1.32,17.0,21.1,71.5,46.4,17.2,51.6,54.6,108.50,45.5,8,4,4,389.0,106.3,107.5,-1.2,67.3,1.83,18.4,27.3,73.9,51.1,14.0,50.0,54.1,104.39,51.1,-21
87,Sacramento Kings,123,Miami Heat,113,8,5,3,384.0,109.1,108.7,0.4,53.0,1.56,16.9,23.3,71.0,47.9,14.4,55.3,57.2,107.06,50.4,7,3,4,336.0,108.9,107.6,1.3,54.5,1.37,15.3,33.4,74.7,53.6,15.5,50.2,53.9,102.71,50.5,10
88,Brooklyn Nets,96,New York Knicks,115,8,3,5,389.0,108.0,111.4,-3.4,62.9,1.46,17.9,28.9,67.5,48.7,17.1,53.2,56.0,99.15,48.2,8,2,6,384.0,105.2,109.8,-4.6,49.4,1.39,14.3,30.6,74.7,51.0,13.9,49.1,52.7,100.56,45.0,-19
89,Golden State Warriors,149,Chicago Bulls,124,9,8,1,432.0,120.3,107.5,12.9,65.7,2.00,20.9,26.6,71.8,51.1,14.8,59.9,63.1,104.00,58.5,8,2,6,389.0,108.0,116.5,-8.5,59.0,1.65,17.4,23.8,69.6,47.3,14.3,53.2,56.3,100.38,45.0,25
90,Toronto Raptors,109,Milwaukee Bucks,124,8,7,1,384.0,114.5,106.7,7.8,58.1,1.85,18.1,28.4,68.3,49.5,13.5,54.5,57.8,102.31,55.9,7,7,0,336.0,113.2,98.2,15.0,61.2,1.57,18.5,26.4,74.7,53.4,16.2,56.5,59.6,106.00,59.9,-15
91,Los Angeles Lakers,120,Minnesota Timberwolves,124,8,3,5,389.0,112.4,112.5,-0.1,55.7,1.79,17.8,27.7,70.3,48.9,13.7,55.0,57.4,106.24,50.2,8,4,4,384.0,111.4,114.2,-2.8,55.6,1.64,16.1,31.3,66.2,48.7,13.4,50.7,55.7,103.94,49.9,-4
92,Dallas Mavericks,108,San Antonio Spurs,113,8,2,6,389.0,106.6,111.6,-5.0,58.7,1.45,16.7,28.7,78.2,51.3,15.8,51.5,54.9,103.16,46.6,7,5,2,346.0,111.9,110.6,1.2,56.9,2.02,17.3,27.9,74.2,50.8,11.7,51.3,55.8,99.33,52.0,-5
93,New Orleans Pelicans,111,Denver Nuggets,116,7,4,3,336.0,114.3,113.3,1.0,59.6,1.88,18.2,29.6,73.4,51.3,13.5,54.4,57.9,106.71,50.3,7,6,1,341.0,109.3,102.1,7.2,59.0,1.76,17.2,31.3,77.8,54.0,13.7,50.5,54.5,101.77,55.0,-5
94,Miami Heat,113,Charlotte Hornets,125,7,3,4,336.0,108.9,107.6,1.3,54.5,1.37,15.3,33.4,74.7,53.6,15.5,50.2,53.9,102.71,50.5,8,4,4,384.0,114.9,109.1,5.8,58.2,2.09,17.7,27.3,71.9,49.2,11.7,53.4,57.2,100.44,52.5,-12
95,Atlanta Hawks,114,Cleveland Cavaliers,136,7,2,5,336.0,100.1,107.5,-7.4,62.6,1.32,17.0,21.1,71.5,46.4,17.2,51.6,54.6,108.50,45.5,7,1,6,336.0,108.9,116.5,-7.6,51.2,1.42,15.1,32.3,74.2,51.7,14.6,49.6,54.3,101.07,44.7,-22
96,Sacramento Kings,107,Orlando Magic,99,8,5,3,384.0,109.1,108.7,0.4,53.0,1.56,16.9,23.3,71.0,47.9,14.4,55.3,57.2,107.06,50.4,7,2,5,336.0,99.4,109.6,-10.2,65.8,1.80,17.7,27.1,74.0,48.9,13.7,46.5,49.7,101.07,44.7,8
97,Detroit Pistons,105,Boston Celtics,108,7,4,3,346.0,107.6,108.7,-1.1,47.7,1.34,13.8,31.0,75.5,52.3,13.9,48.9,53.1,100.37,46.2,7,5,2,336.0,100.8,96.2,4.6,61.7,1.66,16.7,24.9,75.8,50.6,13.6,47.9,51.7,101.50,53.2,-3
98,Philadelphia 76ers,112,Toronto Raptors,129,8,4,4,389.0,106.3,107.5,-1.2,67.3,1.83,18.4,27.3,73.9,51.1,14.0,50.0,54.1,104.39,51.1,8,7,1,384.0,114.5,106.7,7.8,58.1,1.85,18.1,28.4,68.3,49.5,13.5,54.5,57.8,102.31,55.9,-17
99,Portland Trail Blazers,104,Houston Rockets,85,7,5,2,341.0,113.9,106.4,7.5,48.1,1.32,14.7,29.6,73.1,53.2,14.9,53.3,58.4,101.14,54.6,6,1,5,288.0,103.9,113.5,-9.6,54.8,1.50,15.2,27.4,69.9,46.4,13.7,48.7,51.6,102.17,41.0,19
100,Washington Wizards,95,Memphis Grizzlies,107,7,1,6,341.0,104.4,114.3,-9.9,54.2,1.45,15.2,21.1,65.6,43.3,13.6,49.7,54.7,105.57,43.8,6,4,2,288.0,104.9,101.5,3.4,65.7,1.73,17.6,23.9,73.5,47.9,13.8,50.0,54.8,98.67,51.6,-12
101,Los Angeles Clippers,110,Oklahoma City Thunder,128,7,4,3,336.0,110.5,105.5,5.1,53.0,1.32,15.7,26.2,70.8,50.5,15.7,53.1,58.4,104.57,53.7,6,2,4,288.0,102.4,105.0,-2.7,50.6,1.30,14.0,32.9,71.8,50.8,14.8,47.2,50.7,106.08,47.4,-18
102,Detroit Pistons,119,Brooklyn Nets,120,7,4,3,346.0,107.6,108.7,-1.1,47.7,1.34,13.8,31.0,75.5,52.3,13.9,48.9,53.1,100.37,46.2,8,3,5,389.0,108.0,111.4,-3.4,62.9,1.46,17.9,28.9,67.5,48.7,17.1,53.2,56.0,99.15,48.2,-1
103,Denver Nuggets,108,Chicago Bulls,107,7,6,1,341.0,109.3,102.1,7.2,59.0,1.76,17.2,31.3,77.8,54.0,13.7,50.5,54.5,101.77,55.0,8,2,6,389.0,108.0,116.5,-8.5,59.0,1.65,17.4,23.8,69.6,47.3,14.3,53.2,56.3,100.38,45.0,1
104,Utah Jazz,125,Minnesota Timberwolves,128,7,4,3,336.0,111.0,106.4,4.6,59.5,1.47,17.0,28.0,76.4,52.6,15.7,54.0,58.5,102.86,53.8,8,4,4,384.0,111.4,114.2,-2.8,55.6,1.64,16.1,31.3,66.2,48.7,13.4,50.7,55.7,103.94,49.9,-3
105,Indiana Pacers,107,New York Knicks,101,8,5,3,384.0,112.1,105.5,6.6,53.7,1.67,17.6,28.0,68.6,49.2,14.4,56.0,57.7,97.13,53.8,8,2,6,384.0,105.2,109.8,-4.6,49.4,1.39,14.3,30.6,74.7,51.0,13.9,49.1,52.7,100.56,45.0,6
106,New Orleans Pelicans,121,Golden State Warriors,131,7,4,3,336.0,114.3,113.3,1.0,59.6,1.88,18.2,29.6,73.4,51.3,13.5,54.4,57.9,106.71,50.3,9,8,1,432.0,120.3,107.5,12.9,65.7,2.00,20.9,26.6,71.8,51.1,14.8,59.9,63.1,104.00,58.5,-10
107,Dallas Mavericks,113,Los Angeles Lakers,114,8,2,6,389.0,106.6,111.6,-5.0,58.7,1.45,16.7,28.7,78.2,51.3,15.8,51.5,54.9,103.16,46.6,8,3,5,389.0,112.4,112.5,-0.1,55.7,1.79,17.8,27.7,70.3,48.9,13.7,55.0,57.4,106.24,50.2,-1
108,San Antonio Spurs,120,Phoenix Suns,90,7,5,2,346.0,111.9,110.6,1.2,56.9,2.02,17.3,27.9,74.2,50.8,11.7,51.3,55.8,99.33,52.0,7,1,6,336.0,101.4,115.5,-14.1,66.4,1.38,18.3,21.7,75.9,48.1,17.9,51.7,55.7,102.14,40.6,30
